airline,month,day_of_the_week,source,source_busy,destination,destination_busy,dep_timeZone,arrival_timeZone,duration,total_stops,busy_Intermediate,price
Air Asia,May,Sunday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,5216.0
Air Asia,May,Sunday,Kolkata,1,Banglore,1,evening,night,150,0,0,5530.0
Air Asia,May,Sunday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,May,Sunday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5320.0
Air Asia,May,Sunday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5320.0
Air Asia,May,Sunday,Kolkata,1,Banglore,1,night,morning,720,1,1,5192.0
Air Asia,June,Wednesday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,June,Wednesday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,June,Wednesday,Delhi,1,Cochin,1,early morning,afternoon,470,1,1,6152.0
Air Asia,June,Wednesday,Delhi,1,Cochin,1,early morning,night,870,1,1,6152.0
Air Asia,June,Wednesday,Delhi,1,Cochin,1,evening,early morning,625,1,1,6152.0
Air Asia,June,Wednesday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
Air Asia,June,Wednesday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,3807.0
Air Asia,June,Wednesday,Kolkata,1,Banglore,1,evening,night,150,0,0,3807.0
Air Asia,June,Wednesday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5192.0
Air Asia,June,Wednesday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,June,Wednesday,Kolkata,1,Banglore,1,night,morning,720,1,1,5192.0
Air Asia,June,Wednesday,Kolkata,1,Banglore,1,afternoon,night,500,2,1,5192.0
Air Asia,March,Friday,Banglore,1,New Delhi,1,night,morning,170,0,0,5615.0
Air Asia,March,Friday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4384.0
Air Asia,March,Friday,Kolkata,1,Banglore,1,night,night,150,0,0,3782.0
Air Asia,April,Monday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,evening,night,150,0,0,4409.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5192.0
Air Asia,April,Monday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,May,Wednesday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,May,Wednesday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,May,Wednesday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,May,Wednesday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,6451.0
Air Asia,May,Wednesday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,6752.0
Air Asia,May,Wednesday,Delhi,1,Cochin,1,afternoon,night,340,1,1,6752.0
Air Asia,May,Wednesday,Delhi,1,Cochin,1,evening,early morning,625,1,1,6853.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,evening,night,150,0,0,4409.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,night,night,150,0,0,4107.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5192.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,night,morning,720,1,1,5192.0
Air Asia,May,Wednesday,Kolkata,1,Banglore,1,afternoon,night,500,2,1,5192.0
Air Asia,June,Saturday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,June,Saturday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,6253.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,early morning,night,870,1,1,6253.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,6853.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,afternoon,night,340,1,1,6853.0
Air Asia,June,Saturday,Delhi,1,Cochin,1,evening,early morning,625,1,1,6253.0
Air Asia,June,Saturday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,June,Saturday,Kolkata,1,Banglore,1,evening,night,150,0,0,4107.0
Air Asia,June,Saturday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,March,Monday,Banglore,1,New Delhi,1,night,morning,170,0,0,4284.0
Air Asia,March,Monday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4384.0
Air Asia,March,Monday,Kolkata,1,Banglore,1,evening,night,150,0,0,4384.0
Air Asia,March,Monday,Kolkata,1,Banglore,1,night,night,150,0,0,4082.0
Air Asia,April,Thursday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,April,Thursday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,April,Thursday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,April,Thursday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,April,Thursday,Kolkata,1,Banglore,1,evening,night,150,0,0,4409.0
Air Asia,April,Thursday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,May,Saturday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,May,Saturday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,May,Saturday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,May,Saturday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,8759.0
Air Asia,May,Saturday,Delhi,1,Cochin,1,early morning,night,870,1,1,7452.0
Air Asia,May,Saturday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,7353.0
Air Asia,May,Saturday,Delhi,1,Cochin,1,evening,early morning,625,1,1,7452.0
Air Asia,May,Saturday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,6857.0
Air Asia,May,Saturday,Kolkata,1,Banglore,1,evening,night,215,1,0,6857.0
Air Asia,May,Saturday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,5645.0
Air Asia,May,Saturday,Kolkata,1,Banglore,1,evening,night,150,0,0,5989.0
Air Asia,May,Saturday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,May,Saturday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5192.0
Air Asia,June,Tuesday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,June,Tuesday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,June,Tuesday,Kolkata,1,Banglore,1,morning,afternoon,150,0,0,3807.0
Air Asia,June,Tuesday,Kolkata,1,Banglore,1,evening,night,150,0,0,3807.0
Air Asia,June,Tuesday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,March,Thursday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,6151.0
Air Asia,March,Thursday,Delhi,1,Cochin,1,afternoon,night,330,1,1,6151.0
Air Asia,March,Thursday,Delhi,1,Cochin,1,evening,early morning,660,1,1,6151.0
Air Asia,March,Thursday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4082.0
Air Asia,March,Thursday,Kolkata,1,Banglore,1,night,night,150,0,0,3782.0
Air Asia,April,Sunday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,April,Sunday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,April,Sunday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,7452.0
Air Asia,April,Sunday,Delhi,1,Cochin,1,early morning,night,870,1,1,7452.0
Air Asia,April,Sunday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,April,Sunday,Kolkata,1,Banglore,1,night,night,150,0,0,5645.0
Air Asia,May,Tuesday,Banglore,1,Delhi,1,night,early morning,170,0,0,3383.0
Air Asia,May,Tuesday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,May,Tuesday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,May,Tuesday,Delhi,1,Cochin,1,early morning,night,875,1,1,6152.0
Air Asia,May,Tuesday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,8327.0
Air Asia,May,Tuesday,Delhi,1,Cochin,1,afternoon,night,345,1,1,8028.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,evening,night,215,1,0,5162.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,morning,afternoon,150,0,0,4409.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,evening,night,150,0,0,4107.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,night,night,150,0,0,4107.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,night,morning,720,1,1,9719.0
Air Asia,May,Tuesday,Kolkata,1,Banglore,1,afternoon,night,500,2,1,5192.0
Air Asia,June,Friday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,June,Friday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,June,Friday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,June,Friday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,3807.0
Air Asia,June,Friday,Kolkata,1,Banglore,1,evening,night,150,0,0,4107.0
Air Asia,June,Friday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,morning,170,0,0,3383.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,morning,170,0,0,4284.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,night,165,0,0,3383.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,night,165,0,0,4482.0
Air Asia,March,Sunday,Banglore,1,New Delhi,1,night,night,165,0,0,4482.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,evening,night,215,1,0,5554.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,5620.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,evening,night,150,0,0,5964.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,night,night,150,0,0,5620.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,6785.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,early morning,night,920,1,1,6785.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,afternoon,night,450,2,1,11245.0
Air Asia,April,Wednesday,Banglore,1,Delhi,1,night,early morning,170,0,0,3383.0
Air Asia,April,Wednesday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,April,Wednesday,Delhi,1,Cochin,1,early morning,night,870,1,1,6152.0
Air Asia,April,Wednesday,Delhi,1,Cochin,1,afternoon,night,340,1,1,6152.0
Air Asia,April,Wednesday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,April,Wednesday,Kolkata,1,Banglore,1,evening,night,150,0,0,4107.0
Air Asia,May,Friday,Banglore,1,Delhi,1,night,early morning,170,0,0,3383.0
Air Asia,May,Friday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,May,Friday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,night,night,150,0,0,4107.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5192.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,afternoon,night,500,2,1,5192.0
Air Asia,June,Monday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,June,Monday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,June,Monday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,6152.0
Air Asia,June,Monday,Delhi,1,Cochin,1,early morning,night,870,1,1,6152.0
Air Asia,June,Monday,Delhi,1,Cochin,1,afternoon,early morning,830,1,1,6752.0
Air Asia,June,Monday,Delhi,1,Cochin,1,afternoon,night,340,1,1,6752.0
Air Asia,June,Monday,Delhi,1,Cochin,1,evening,early morning,590,1,1,6152.0
Air Asia,June,Monday,Kolkata,1,Banglore,1,evening,night,150,0,0,3807.0
Air Asia,June,Monday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,March,Wednesday,Delhi,1,Cochin,1,early morning,afternoon,315,1,1,6151.0
Air Asia,March,Wednesday,Delhi,1,Cochin,1,early morning,afternoon,470,1,1,6151.0
Air Asia,March,Wednesday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,6151.0
Air Asia,March,Wednesday,Delhi,1,Cochin,1,afternoon,night,330,1,1,6151.0
Air Asia,March,Wednesday,Delhi,1,Cochin,1,evening,early morning,660,1,1,6151.0
Air Asia,March,Wednesday,Kolkata,1,Banglore,1,evening,night,150,0,0,3782.0
Air Asia,March,Wednesday,Kolkata,1,Banglore,1,night,night,150,0,0,3782.0
Air Asia,April,Saturday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,April,Saturday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,April,Saturday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,April,Saturday,Delhi,1,Cochin,1,early morning,night,870,1,1,6451.0
Air Asia,April,Saturday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,6451.0
Air Asia,April,Saturday,Delhi,1,Cochin,1,afternoon,night,340,1,1,6451.0
Air Asia,April,Saturday,Delhi,1,Cochin,1,evening,early morning,625,1,1,6451.0
Air Asia,April,Saturday,Kolkata,1,Banglore,1,evening,night,150,0,0,4409.0
Air Asia,April,Saturday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,May,Monday,Banglore,1,Delhi,1,night,early morning,170,0,0,3383.0
Air Asia,May,Monday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,May,Monday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,May,Monday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,6451.0
Air Asia,May,Monday,Delhi,1,Cochin,1,early morning,afternoon,470,1,1,6451.0
Air Asia,May,Monday,Delhi,1,Cochin,1,early morning,night,870,1,1,6152.0
Air Asia,May,Monday,Delhi,1,Cochin,1,afternoon,early morning,830,1,1,6752.0
Air Asia,May,Monday,Delhi,1,Cochin,1,afternoon,night,340,1,1,6752.0
Air Asia,May,Monday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,May,Monday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,June,Thursday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,6152.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,early morning,night,870,1,1,6152.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,6451.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,evening,early morning,625,1,1,6451.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,evening,night,150,0,0,3807.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,March,Sunday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,13474.0
Air Asia,March,Sunday,Delhi,1,Cochin,1,afternoon,night,330,1,1,13774.0
Air Asia,March,Sunday,Kolkata,1,Banglore,1,evening,night,150,0,0,5964.0
Air Asia,April,Wednesday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,April,Wednesday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,April,Wednesday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4107.0
Air Asia,April,Wednesday,Kolkata,1,Banglore,1,evening,night,150,0,0,4107.0
Air Asia,April,Wednesday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,May,Friday,Banglore,1,Delhi,1,night,early morning,170,0,0,6181.0
Air Asia,May,Friday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,May,Friday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,May,Friday,Kolkata,1,Banglore,1,evening,night,150,0,0,5989.0
Air Asia,June,Monday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,June,Monday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,June,Monday,Banglore,1,Delhi,1,night,night,170,0,0,7120.0
Air Asia,June,Monday,Delhi,1,Cochin,1,early morning,afternoon,470,1,1,8759.0
Air Asia,June,Monday,Delhi,1,Cochin,1,early morning,night,870,1,1,8759.0
Air Asia,June,Monday,Delhi,1,Cochin,1,afternoon,early morning,830,1,1,11410.0
Air Asia,June,Monday,Delhi,1,Cochin,1,afternoon,night,340,1,1,11410.0
Air Asia,June,Monday,Delhi,1,Cochin,1,evening,early morning,590,1,1,11410.0
Air Asia,June,Monday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,June,Monday,Kolkata,1,Banglore,1,night,night,150,0,0,4409.0
Air Asia,March,Wednesday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,8627.0
Air Asia,March,Wednesday,Delhi,1,Cochin,1,evening,early morning,660,1,1,8627.0
Air Asia,March,Wednesday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4384.0
Air Asia,March,Wednesday,Kolkata,1,Banglore,1,evening,night,150,0,0,4384.0
Air Asia,March,Wednesday,Kolkata,1,Banglore,1,night,night,150,0,0,4384.0
Air Asia,April,Saturday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,April,Saturday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,April,Saturday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,3807.0
Air Asia,April,Saturday,Kolkata,1,Banglore,1,evening,night,150,0,0,3807.0
Air Asia,April,Saturday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,May,Monday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,May,Monday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,May,Monday,Banglore,1,Delhi,1,night,night,170,0,0,3383.0
Air Asia,May,Monday,Kolkata,1,Banglore,1,evening,night,150,0,0,4409.0
Air Asia,May,Monday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,5192.0
Air Asia,May,Monday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,June,Thursday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,June,Thursday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,4483.0
Air Asia,June,Thursday,Banglore,1,Delhi,1,night,night,170,0,0,7120.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,8759.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,early morning,night,870,1,1,8759.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,11410.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,afternoon,night,340,1,1,11410.0
Air Asia,June,Thursday,Delhi,1,Cochin,1,evening,early morning,625,1,1,11410.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,6857.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,evening,night,215,1,0,6857.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4508.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,evening,night,150,0,0,4508.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,early morning,evening,710,1,1,6810.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,early morning,night,955,1,1,6810.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,night,morning,720,1,1,6810.0
Air Asia,June,Thursday,Kolkata,1,Banglore,1,afternoon,night,500,2,1,6810.0
Air Asia,March,Saturday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,8327.0
Air Asia,March,Saturday,Delhi,1,Cochin,1,afternoon,night,330,1,1,8327.0
Air Asia,March,Saturday,Delhi,1,Cochin,1,evening,early morning,660,1,1,8327.0
Air Asia,March,Saturday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4384.0
Air Asia,March,Saturday,Kolkata,1,Banglore,1,evening,night,150,0,0,4384.0
Air Asia,March,Saturday,Kolkata,1,Banglore,1,night,night,150,0,0,4384.0
Air Asia,April,Tuesday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,April,Tuesday,Banglore,1,Delhi,1,night,night,170,0,0,4483.0
Air Asia,April,Tuesday,Delhi,1,Cochin,1,evening,early morning,625,1,1,6451.0
Air Asia,April,Tuesday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
Air Asia,April,Tuesday,Kolkata,1,Banglore,1,evening,night,150,0,0,4107.0
Air Asia,May,Thursday,Banglore,1,Delhi,1,night,early morning,170,0,0,4282.0
Air Asia,May,Thursday,Banglore,1,Delhi,1,morning,afternoon,165,0,0,3383.0
Air Asia,May,Thursday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,6751.0
Air Asia,May,Thursday,Delhi,1,Cochin,1,afternoon,early morning,865,1,1,7353.0
Air Asia,May,Thursday,Delhi,1,Cochin,1,afternoon,night,340,1,1,6752.0
Air Asia,May,Thursday,Delhi,1,Cochin,1,evening,early morning,625,1,1,6751.0
Air Asia,May,Thursday,Kolkata,1,Banglore,1,early morning,morning,220,1,0,5162.0
Air Asia,May,Thursday,Kolkata,1,Banglore,1,evening,night,215,1,0,5162.0
Air Asia,May,Thursday,Kolkata,1,Banglore,1,morning,afternoon,155,0,0,4409.0
Air Asia,May,Thursday,Kolkata,1,Banglore,1,night,night,150,0,0,3807.0
Air Asia,May,Thursday,Kolkata,1,Banglore,1,early morning,night,955,1,1,5192.0
Air Asia,May,Thursday,Kolkata,1,Banglore,1,night,morning,720,1,1,5192.0
Air Asia,May,Thursday,Kolkata,1,Banglore,1,afternoon,night,500,2,1,5192.0
Air Asia,June,Sunday,Banglore,1,Delhi,1,night,early morning,170,0,0,8420.0
Air Asia,June,Sunday,Banglore,1,Delhi,1,night,night,170,0,0,7120.0
Air Asia,June,Sunday,Delhi,1,Cochin,1,early morning,afternoon,330,1,1,8759.0
